Treatments,Time,BT,BV,CD,CH,BU,CS,CA,DP
BT-BV-CH-BU-CS-CA,0,0.0016666666666666666,0.0016666666666666666,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0
BT-BV-CH-BU-CS-CA,24,,,,,,,,
BT-BV-CH-BU-CS-DP,0,0.0016666666666666666,0.0016666666666666666,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0,0.0016666666666666666
BT-BV-CH-BU-CS-DP,24,,,,,,,,
BT-BV-CH-BU-CA,0,0.002,0.002,0.0,0.002,0.002,0.0,0.002,0.0
BT-BV-CH-BU-CA,24,,,,,,,,
BT-BV-CH-CS-DP,0,0.002,0.002,0.0,0.002,0.0,0.002,0.0,0.002
BT-BV-CH-CS-DP,24,,,,,,,,
BT-BV-BU-CS-CA-DP,0,0.0016666666666666666,0.0016666666666666666,0.0,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666
BT-BV-BU-CS-CA-DP,24,,,,,,,,
BT-CH-BU-CS-CA-DP,0,0.0016666666666666666,0.0,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666
BT-CH-BU-CS-CA-DP,24,,,,,,,,
BT-CH-BU-CS-DP,0,0.002,0.0,0.0,0.002,0.002,0.002,0.0,0.002
BT-CH-BU-CS-DP,24,,,,,,,,
BT-CH-CS-CA-DP,0,0.002,0.0,0.0,0.002,0.0,0.002,0.002,0.002
BT-CH-CS-CA-DP,24,,,,,,,,
BT-BU-CS-CA-DP,0,0.002,0.0,0.0,0.0,0.002,0.002,0.002,0.002
BT-BU-CS-CA-DP,24,,,,,,,,
BV-CD-CH-BU-CS-CA,0,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0
BV-CD-CH-BU-CS-CA,24,,,,,,,,
BV-CD-CH-CS-CA,0,0.0,0.002,0.002,0.002,0.0,0.002,0.002,0.0
BV-CD-CH-CS-CA,24,,,,,,,,
BV-CH-BU-CS-CA,0,0.0,0.002,0.0,0.002,0.002,0.002,0.002,0.0
BV-CH-BU-CS-CA,24,,,,,,,,
BV-CH-BU-CS,0,0.0,0.0025,0.0,0.0025,0.0025,0.0025,0.0,0.0
BV-CH-BU-CS,24,,,,,,,,
BV-CH-BU-CA,0,0.0,0.0025,0.0,0.0025,0.0025,0.0,0.0025,0.0
BV-CH-BU-CA,24,,,,,,,,
BV-CH-CS-CA-DP,0,0.0,0.002,0.0,0.002,0.0,0.002,0.002,0.002
BV-CH-CS-CA-DP,24,,,,,,,,
BV-CH-CS-CA,0,0.0,0.0025,0.0,0.0025,0.0,0.0025,0.0025,0.0
BV-CH-CS-CA,24,,,,,,,,
BV-CH-CS,0,0.0,0.003333333333333333,0.0,0.003333333333333333,0.0,0.003333333333333333,0.0,0.0
BV-CH-CS,24,,,,,,,,
BV-CH-CA-DP,0,0.0,0.0025,0.0,0.0025,0.0,0.0,0.0025,0.0025
BV-CH-CA-DP,24,,,,,,,,
BV-CH-CA,0,0.0,0.003333333333333333,0.0,0.003333333333333333,0.0,0.0,0.003333333333333333,0.0
BV-CH-CA,24,,,,,,,,
BV-BU-CS-CA-DP,0,0.0,0.002,0.0,0.0,0.002,0.002,0.002,0.002
BV-BU-CS-CA-DP,24,,,,,,,,
BV-BU-CS-CA,0,0.0,0.0025,0.0,0.0,0.0025,0.0025,0.0025,0.0
BV-BU-CS-CA,24,,,,,,,,
BV-BU-DP,0,0.0,0.003333333333333333,0.0,0.0,0.003333333333333333,0.0,0.0,0.003333333333333333
BV-BU-DP,24,,,,,,,,
BV-CS-CA-DP,0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.0025,0.0025
BV-CS-CA-DP,24,,,,,,,,
BV-CS-CA,0,0.0,0.003333333333333333,0.0,0.0,0.0,0.003333333333333333,0.003333333333333333,0.0
BV-CS-CA,24,,,,,,,,
BV-CA-DP,0,0.0,0.003333333333333333,0.0,0.0,0.0,0.0,0.003333333333333333,0.003333333333333333
BV-CA-DP,24,,,,,,,,
CD-CH-BU-CS-CA-DP,0,0.0,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666
CD-CH-BU-CS-CA-DP,24,,,,,,,,
CD-CH-BU-CS-CA,0,0.0,0.0,0.002,0.002,0.002,0.002,0.002,0.0
CD-CH-BU-CS-CA,24,,,,,,,,
CD-CH-BU-CS-DP,0,0.0,0.0,0.002,0.002,0.002,0.002,0.0,0.002
CD-CH-BU-CS-DP,24,,,,,,,,
CD-CH-CS-CA-DP,0,0.0,0.0,0.002,0.002,0.0,0.002,0.002,0.002
CD-CH-CS-CA-DP,24,,,,,,,,
CH-BU-CS-CA,0,0.0,0.0,0.0,0.0025,0.0025,0.0025,0.0025,0.0
CH-BU-CS-CA,24,,,,,,,,
CS-CA-DP,0,0.0,0.0,0.0,0.0,0.0,0.003333333333333333,0.003333333333333333,0.003333333333333333
CS-CA-DP,24,,,,,,,,
